,Name,Price,Rating,Image
54, acer Intel Core i5 14 Inch Laptop ( Windows …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
55, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹18,463.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/9f/b8/cnbicean10021lr.jpg.d66a039fb8.999x150x150.jpg
56, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹19,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/06/88/440g81.jpg.630f540688.999x150x150.jpg
57, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,"₹20,250.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
58, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹21,009.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/2b/ae/cnbicean1wp0021lr.jpg.2513fe2bae.999x150x150.jpg
59, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹94,997.99",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
60, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,"₹11,250.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
61, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹12,600.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
62, hp Intel Core i7 15.6 Inch Laptop ( Windows …,"₹12,998.16",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6505504/9f/7c/250g9image.jpg.9abbb59f7c.999x150x150.jpg
63, hp Intel Core i5 14 Inch Laptop ( Windows 10 …,"₹15,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/a7/0f/440g9nb.jpg.5d1452a70f.999x150x150.jpg
64, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
65, hp AMD Athlon 14 Inch Laptop ( DOS ),"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
66, acer Intel Core i5 14 Inch Laptop ( Windows …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
67, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹18,463.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/9f/b8/cnbicean10021lr.jpg.d66a039fb8.999x150x150.jpg
68, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹19,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/06/88/440g81.jpg.630f540688.999x150x150.jpg
69, hp AMD Athlon 14 Inch Laptop ( Windows 11 …,"₹20,250.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
70, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹21,009.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/2b/ae/cnbicean1wp0021lr.jpg.2513fe2bae.999x150x150.jpg
71, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹94,997.99",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
72, hp Intel Core i3 14 Inch Laptop ( Windows 11 …,"₹11,250.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
73, acer Intel Core i7 14 Inch Laptop ( Windows …,"₹12,600.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
74, hp Intel Core i7 15.6 Inch Laptop ( Windows …,"₹12,998.16",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/6505504/9f/7c/250g9image.jpg.9abbb59f7c.999x150x150.jpg
75, hp Intel Core i5 14 Inch Laptop ( Windows 10 …,"₹15,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/a7/0f/440g9nb.jpg.5d1452a70f.999x150x150.jpg
76, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/fd/fe/240g8front.jpg.67bde9fdfe.999x150x150.jpg
77, hp AMD Athlon 14 Inch Laptop ( DOS ),"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6505504/30/2e/247image.jfif.e6caee302e.999x150x150.jpg
78, acer Intel Core i5 14 Inch Laptop ( Windows …,"₹18,000.00",,https://assets-mkpbg.gem.gov.in/img/othe/6827336/1a/00/acertmp21454top.jpg.d2ff691a00.999x150x150.jpg
79, Coconics Intel Celeron 11.6 Inch Laptop ( …,"₹18,463.00",4.5 - 5.0,https://assets-mkpbg.gem.gov.in/img/othe/8208472/9f/b8/cnbicean10021lr.jpg.d66a039fb8.999x150x150.jpg
80, hp Intel Core i5 14 Inch Laptop ( Windows 11 …,"₹19,000.00",4.0 - 4.49,https://assets-mkpbg.gem.gov.in/img/othe/6505504/06/88/440g81.jpg.630f540688.999x150x150.jpg
